year,month_name,debits
2014,December,28
2015,January,6
2015,February,1
2015,March,5
2015,April,2
2015,May,5
2015,June,3
2015,August,3
2015,September,12
2015,October,14
2015,November,14
2015,December,9
2016,January,32
2016,February,46
2016,March,47
2016,April,59
2016,May,56
2016,June,28
2016,July,47
2016,August,28
2016,September,56
2016,October,66
2016,November,60
2016,December,49
2017,January,77
2017,February,84
2017,March,79
2017,April,31
2017,May,63
2017,June,58
2017,July,59
2017,August,34
2017,September,39
2017,October,58
2017,November,51
2017,December,46
2018,January,70
2018,February,68
2018,March,51
2018,April,52
2018,May,54
2018,June,49
2018,July,69
2018,August,74
2018,September,80
2018,October,82
2018,November,71
2018,December,50
2019,January,51
2019,February,61
2019,March,56
2019,April,64
2019,May,53
2019,June,51
2019,July,74
2019,August,66
2019,September,57
2019,October,64
2019,November,48
2019,December,50
2020,January,70
2020,February,81
2020,March,92
2020,April,39
2020,May,51
2020,June,78
2020,July,52
2020,August,57
2020,September,78
2020,October,71
2020,November,58
2020,December,72
2021,January,32
2021,February,30
2021,March,24
2021,April,16
2021,May,9
2021,June,26
2021,July,38
2021,August,40
2021,September,52
2021,October,53
2021,November,60
2021,December,74
2022,January,63
2022,February,40
2022,March,32
